Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,Year
Semaj Christon,24,1,64,973,77,223,12,63,17,31,19,87,130,28,7,43,79,183,15.2,2016
Quinn Cook,23,1,14,188,33,66,11,26,2,5,1,7,26,4,0,13,13,79,13.4,2016
Deyonta Davis,20,1,36,238,24,47,0,0,10,18,20,60,2,3,17,8,40,58,6.6,2016
Malcolm Delaney,27,1,73,1248,145,388,26,110,75,93,10,123,193,39,1,95,112,391,17.1,2016
Cheick Diallo,20,1,17,199,36,76,0,0,15,21,23,73,4,4,7,7,17,87,11.7,2016
Kris Dunn,22,1,78,1333,118,313,21,73,36,59,24,166,188,78,36,89,178,293,17.1,2016
Henry Ellenson,20,1,19,146,23,64,10,35,4,8,8,41,7,1,1,14,6,60,7.7,2016
Joel Embiid,22,1,31,786,200,429,36,98,191,244,61,243,66,27,76,117,112,627,25.4,2016
Kay Felder,21,1,42,386,62,158,7,22,35,49,3,41,58,18,7,30,38,166,9.2,2016
Yogi Ferrell,23,1,46,1197,160,394,68,176,74,89,20,111,172,42,9,70,90,462,26,2016
Dorian Finney-Smith,23,1,81,1642,124,333,56,191,46,61,55,222,67,52,25,45,125,350,20.3,2016
Bryn Forbes,23,1,36,285,36,99,17,53,5,6,2,23,23,1,0,11,20,94,7.9,2016
Patricio Garino,23,1,5,43,0,7,0,5,0,0,1,7,0,0,0,3,4,0,8.6,2016
Michael Gbinije,24,1,9,32,1,10,0,4,2,2,2,3,2,0,0,0,2,4,3.6,2016
Marcus Georges-Hunt,22,1,5,48,2,7,1,2,9,10,1,9,3,1,0,2,5,14,9.6,2016
Jonathan Gibson,29,1,17,231,35,95,15,45,21,29,1,22,26,8,0,21,21,106,13.6,2016
Treveon Graham,23,1,27,189,19,40,9,15,10,15,5,22,6,6,1,3,18,57,7,2016
A.J. Hammons,24,1,22,163,17,42,5,10,9,20,8,36,4,1,13,10,21,48,7.4,2016
Andrew Harrison,22,1,72,1474,117,360,43,156,148,194,23,136,198,53,21,85,194,425,20.5,2016
Juancho Hernangómez,21,1,62,842,101,224,46,113,57,76,43,187,29,30,12,31,62,305,13.6,2016
Willy Hernangómez,22,1,72,1324,246,465,4,15,91,125,170,502,96,41,36,100,150,587,18.4,2016
Buddy Hield,24,1,82,1888,327,767,148,379,64,76,35,269,121,38,9,101,115,866,23,2016
Danuel House Jr.,23,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2016
Brandon Ingram,19,1,79,2279,276,686,55,187,133,214,60,316,166,50,36,116,158,740,28.8,2016
Demetrius Jackson,22,1,5,17,3,4,1,1,3,6,2,4,3,0,0,0,0,10,3.4,2016
Pierre Jackson,25,1,8,84,13,39,3,11,6,7,1,9,19,2,0,3,5,35,10.5,2016
Brice Johnson,22,1,3,9,2,7,0,0,0,0,1,3,1,2,1,1,0,4,3,2016
Damian Jones,21,1,10,85,8,16,0,0,3,10,9,23,0,1,4,6,15,19,8.5,2016
Derrick Jones Jr.,19,1,32,545,68,121,3,11,29,41,39,79,12,14,13,13,63,168,17,2016
Mindaugas Kuzminskas,27,1,68,1016,158,369,54,168,55,68,47,126,69,29,11,51,79,425,14.9,2016
Skal Labissière,20,1,33,612,117,218,3,8,52,74,51,162,27,16,13,37,64,289,18.5,2016
Nicolás Laprovíttola,27,1,18,174,20,47,10,27,9,9,1,10,28,4,1,19,19,59,9.7,2016
Jake Layman,22,1,35,249,26,89,13,51,13,17,6,24,11,9,3,11,22,78,7.1,2016
Caris LeVert,22,1,57,1237,171,380,59,184,67,93,23,188,110,49,8,59,91,468,21.7,2016
Shawn Long,24,1,18,234,61,109,7,19,19,35,41,85,13,9,9,13,49,148,13,2016
Timothé Luwawu-Cabarrot,21,1,69,1190,145,361,50,161,105,123,25,149,75,32,10,73,154,445,17.2,2016
Sheldon Mac,24,1,30,287,30,75,7,30,23,27,4,34,15,8,2,5,17,90,9.6,2016
Thon Maker,19,1,57,562,83,181,28,74,32,49,40,114,23,10,26,17,84,226,9.9,2016
Patrick McCaw,21,1,71,1074,106,245,41,123,29,37,21,100,77,32,15,36,62,282,15.1,2016
Rodney McGruder,25,1,78,1966,190,460,73,220,44,71,94,256,124,46,18,56,140,497,25.2,2016
Dejounte Murray,20,1,38,322,50,116,9,23,21,30,6,42,48,8,6,38,29,130,8.5,2016
Jamal Murray,19,1,82,1764,295,730,115,344,106,120,41,214,170,51,24,113,124,811,21.5,2016
Maurice Ndour,24,1,32,331,39,86,1,7,19,26,22,64,8,15,8,12,30,98,10.3,2016
Georges Niang,23,1,23,93,9,36,1,12,2,2,2,17,5,3,0,5,6,21,4,2016
David Nwaba,24,1,20,397,47,81,1,5,25,39,17,63,14,13,7,11,36,120,19.9,2016
Daniel Ochefu,23,1,19,75,12,27,0,0,0,2,5,22,3,2,0,3,17,24,3.9,2016
Chinanu Onuaku,20,1,5,52,5,7,0,0,4,4,2,10,3,3,1,4,6,14,10.4,2016
Georgios Papagiannis,19,1,22,355,56,102,0,2,12,14,24,86,20,3,17,24,44,124,16.1,2016
Gary Payton II,24,1,6,99,8,22,1,9,3,5,0,12,13,3,4,10,9,20,16.5,2016
Marshall Plumlee,24,1,21,170,16,30,0,0,8,19,23,51,10,4,4,12,23,40,8.1,2016
Jakob Poeltl,21,1,54,626,67,115,0,0,31,57,78,165,12,17,20,29,113,165,11.6,2016
Alex Poythress,23,1,6,157,25,54,6,19,8,10,11,29,5,3,2,3,14,64,26.2,2016
Taurean Prince,22,1,59,981,114,285,33,102,74,94,25,157,55,43,27,61,96,335,16.6,2016
Tim Quarterman,22,1,16,80,13,29,5,13,0,3,4,14,11,2,3,11,6,31,5,2016
