Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Luke Babbitt,21,1,24,137,15,55,3,16,3,9,6,30,6,2,2,8,15,36,12.82823358,16,79.5,80.75,83.25,104.5,37.5,142,29.5,134,218,5.6,8.5,10,15,10.98,3.4
Eric Bledsoe,21,1,81,1841,206,486,32,116,99,133,68,223,289,92,26,194,130,543,17.14461108,18,72.25,73.5,79.5,98,,,,,192,5.6,8.5,9.75,9,,
Trevor Booker,23,1,65,1063,139,253,0,1,68,101,98,251,35,29,42,38,115,346,19.71244591,23,78.25,79.5,81.75,106,36,142,31,137,236,7.3,9,9.5,22,11.15,3.1
Craig Brackins,23,1,3,33,4,16,0,5,0,0,2,4,1,1,0,0,3,8,14.80260606,21,80.5,81.75,84,109,35,144,26,135,229,7.9,9.5,11.25,6,11.65,3.39
Avery Bradley,20,1,31,162,23,67,0,5,6,12,4,17,12,9,0,16,20,52,13.45537037,19,74,75.25,79.25,98.5,37.5,136,31.5,130,180,4,8.25,9.5,2,11.47,3.14
Derrick Caracter,22,1,41,215,32,66,0,0,17,23,19,43,7,4,10,19,47,81,16.4722,58,80.25,81.5,84.25,107.25,30.5,137.75,25,132.25,280,12.8,9,10.25,22,12.78,3.61
Sherron Collins,23,1,20,66,7,25,2,10,1,1,0,5,8,2,0,4,2,17,14.55360606,,70.25,71.75,74.5,94,33,127,27.5,121.5,217,9.2,8.5,9.5,,12.31,3.24
DeMarcus Cousins,20,1,81,2309,432,1004,3,18,276,402,217,699,204,85,68,268,332,1143,24.87365006,5,81.5,82.75,89.75,113,27.5,140.5,23.5,136.5,292,16.4,9.25,10,,11.4,3.55
Jordan Crawford,22,1,42,1027,192,500,33,128,73,84,31,105,117,39,3,83,63,490,23.78377994,27,75,76.5,79,101,34.5,135.5,31.5,132.5,198,4.9,8,9,7,11.03,3.37
Ed Davis,21,1,65,1602,215,373,0,0,71,128,168,462,40,39,67,48,183,501,19.94015668,13,81,81.75,84,108,36,144,31,139,227,10,9.25,10,,11.7,3.21
Devin Ebanks,21,1,20,118,21,51,2,5,18,23,15,27,2,4,5,6,7,62,29.25427966,43,79,80.25,84.25,107.5,32,139.5,23.5,131,208,7.9,8.25,9,6,11.69,3.44
Derrick Favors,19,1,78,1535,215,416,0,0,103,173,171,412,39,29,68,77,246,533,19.11443322,3,80.75,82.25,88,110,35.5,145.5,31.5,141.5,245,6.5,8.75,9.25,14,11.74,3.25
Paul George,20,1,61,1265,179,395,41,138,77,101,37,224,65,62,26,70,127,476,20.14681265,10,79.75,80.75,83.25,107,,,,,214,5,8.5,9,4,,
Blake Griffin,21,1,82,3112,696,1376,7,24,446,695,270,989,312,63,45,223,252,1845,31.11597333,1,80.5,82,83.25,105,35.5,140.5,32,137,248,8.2,,,22,10.95,3.28
Luke Harangody,23,1,49,640,79,206,16,66,19,26,40,143,30,15,17,16,80,193,18.32119375,52,78.25,80,81.75,106,31,137,27,133,240,11.2,8.75,9.75,23,11.15,3.33
Manny Harris,21,1,54,933,108,289,34,92,71,93,36,140,85,31,7,63,65,321,18.48150054,,76,77.5,79.25,102,,,,,185,3.8,8.5,9,11,,
Gordon Hayward,20,1,72,1218,142,293,35,74,69,97,41,139,81,30,19,70,106,388,15.8503046,9,78.75,80,79.75,103,34.5,137.5,30.5,133.5,211,6.9,8.5,9.25,10,11.73,3.22
Lazar Hayward,24,1,42,419,55,154,17,60,33,42,23,70,28,12,7,19,44,160,20.70390215,30,76.5,77.75,84.75,102,36,138,31,133,226,7.5,9.25,9.5,15,10.87,3.31
Xavier Henry,19,1,38,527,65,160,2,17,33,52,9,37,18,11,3,13,48,165,14.09096015,12,77.25,78.5,83.25,105,36.5,141.5,28.5,133.5,210,4.7,8.75,10,8,11.1,3.18
Damion James,23,1,25,403,46,103,0,3,18,28,17,85,20,16,12,25,36,110,15.68473697,24,78.25,79.5,84.75,106,37,143,30,136,224,8.2,9.25,8.5,14,11.23,3.09
Armon Johnson,21,1,38,277,46,101,5,12,13,22,11,36,45,5,1,38,31,110,17.06222383,34,74,75.25,80,99.5,38.5,138,31.5,131,195,5.6,8.25,9.25,18,11.25,3.19
Wesley Johnson,23,1,79,2069,271,682,103,289,64,92,51,240,148,58,54,95,163,709,18.50233494,4,78.25,79.25,85,106,37,143,32,138,206,4.6,9,9.5,16,11.43,3.14
Dominique Jones,22,1,18,135,14,45,0,4,14,17,6,25,19,5,3,10,7,42,19.99703704,25,75.25,77,81.25,101,32.5,133.5,26,127,216,5.9,9,10.25,19,10.88,3.31
Gani Lawal,22,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8.587,46,79.75,81,84,106,34.5,140.5,30,136,229,7.2,8.5,10,17,11.93,3.34
Greg Monroe,20,1,80,2222,303,550,0,1,145,233,248,601,105,93,45,81,196,751,21.89524437,7,81.75,83,86.25,108.5,29,137.5,25,133.5,247,11.2,8.75,9.5,15,12.1,3.35
Patrick Patterson,21,1,52,868,149,267,0,2,30,42,86,200,41,17,37,31,77,328,22.81868318,14,80,81.25,85.25,107,33.5,140.5,28.5,135.5,240,5.3,9.25,10.25,17,11.14,3.25
Dexter Pittman,22,1,2,11,1,3,0,0,0,0,1,3,0,0,0,2,2,2,1.124727273,32,81.5,83.5,90,111,,,,,303,20.8,10.25,10.5,,,
Andy Rautins,24,1,5,24,3,7,1,4,1,2,0,1,3,1,0,7,0,8,5.483208333,38,76.25,77,79,100,30.5,130.5,23.5,123.5,192,6.2,8,9.75,8,11.27,3.49
Larry Sanders,22,1,60,872,116,268,0,0,28,50,59,178,16,22,72,38,117,260,17.66326032,15,81.25,82.5,89.75,112,28,140,25.5,137.5,222,4.6,9.75,11,7,12.49,3.27
Lance Stephenson,20,1,12,115,13,39,0,5,11,14,1,18,21,4,0,16,14,37,14.80067826,40,76.5,77.75,82.5,103,33,136,27,130,227,9.3,9,10.25,10,11.39,3.38
Evan Turner,22,1,78,1797,225,529,14,44,101,125,42,306,159,49,14,80,138,565,17.72599944,2,77.75,79,80,103.5,34.5,138,27.5,131,214,8.6,8.75,9.5,9,11.06,3.27
Ekpe Udoh,23,1,58,1030,97,222,0,0,42,64,80,181,40,22,86,48,144,236,14.91495825,6,80.75,81.75,88.5,106.5,33.5,140,31,137.5,237,8,9.5,8.75,10,11.15,3.29
John Wall,20,1,69,2606,398,972,34,115,301,393,35,317,574,121,35,261,175,1131,24.73067268,1,74.75,76,81.25,101.5,39,140.5,30,131.5,196,5.6,8.25,9.5,,10.84,3.14
Willie Warren,21,1,19,134,13,35,5,15,6,8,1,12,27,6,0,8,16,37,17.69530597,54,74.5,75.75,78,99.5,31.5,131,23,122.5,208,7.6,8.5,9.5,10,11.21,3.5
Hassan Whiteside,21,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-17.174,33,82.5,83.5,91,113,31.5,144.5,27,140,227,5.5,8.25,10.25,12,11.83,3.54
Keith Benson,23,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,10.343,48,82,83,87.75,109.5,36,145.5,31.5,141,217,6.1,9.5,11,12,11.88,3.35
Alec Burks,20,1,59,939,153,357,15,45,104,143,57,132,55,27,5,51,84,425,22.05837274,12,77,78,82,103.5,36,139.5,29,132.5,193,5.1,9,8.25,5,10.96,3.17
Jimmy Butler,22,1,42,359,32,79,2,11,43,56,23,56,14,11,5,14,20,109,17.18313092,30,78,79.75,79.5,101.5,39,140.5,32,133.5,222,5.4,9,9,14,11.92,3.15
Norris Cole,23,1,65,1260,177,450,21,76,66,85,21,91,133,44,2,105,124,441,15.97509206,28,72.25,73.75,74.25,95.5,38.5,134,29.5,125,174,4.7,8.5,9.5,11,10.07,3.22
Kenneth Faried,22,1,46,1037,181,309,0,0,109,164,142,352,36,34,47,54,116,471,27.21739441,22,78,79.5,84,108,35,143,30.5,138.5,225,6.3,8.5,10.25,16,11.35,3.26
Jimmer Fredette,22,1,61,1135,172,446,78,216,40,48,17,73,108,30,3,67,73,462,19.93943172,10,72.75,74.5,76.5,96.5,33,129.5,28,124.5,196,7.7,8,8.5,14,10.42,3.21
Andrew Goudelock,23,1,40,419,68,174,28,75,11,12,5,31,20,4,0,21,32,175,18.12013126,46,73.25,74.75,76.25,96.5,37,133.5,32.5,129,198,9.9,8.25,9.25,4,10.33,3.1
Jordan Hamilton,21,1,26,258,48,111,17,47,2,5,11,62,20,4,3,16,15,115,23.73972481,26,78.75,80.5,81.5,104,32,136,25,129,228,9.8,9,9.25,7,11.47,3.3
Justin Harper,22,1,14,84,9,31,2,13,0,1,3,12,2,2,3,6,5,20,11.80966667,32,80,80.75,83.75,106,33,139,28.5,134.5,228,4,9,9.25,19,11.92,3.3
Tobias Harris,19,1,42,479,79,169,6,23,44,54,30,101,22,13,7,31,45,208,21.86189353,19,78.5,79.75,83,103.5,37.5,141,31.5,135,223,8.4,8.75,9,12,10.96,3.17
Darington Hobson,24,1,5,39,2,13,0,6,0,0,0,3,6,0,0,2,1,4,7.667564103,37,77.25,78.5,81.25,104.5,34,138.5,29,133.5,204,6.2,8.25,9,,11.68,3.25
Tyler Honeycutt,21,1,15,88,8,24,1,3,3,5,3,14,7,4,3,2,3,20,17.44679545,35,78.75,80.25,81,105,37,142,30,135,187,5.3,8.5,9.5,,11.68,3.07
Charles Jenkins,22,1,51,893,130,291,3,20,34,39,8,68,170,33,6,60,85,297,19.29116125,44,73.5,75.25,79.5,96.5,34,130.5,29.5,126,216,4.3,8.5,9,16,11.68,3.18
Jerome Jordan,25,1,21,108,17,33,0,0,8,10,14,27,4,1,6,2,15,42,24.04851852,44,83.5,84.75,89.25,113,,,,,244,6.9,9,10.25,,,
Cory Joseph,20,1,29,266,22,70,3,15,11,17,5,25,34,7,3,12,16,58,13.84379323,29,74,75.25,77.5,99,35,134,27.5,126.5,186,9.7,8.5,10.5,5,10.75,3.27
Brandon Knight,20,1,66,2129,319,769,105,276,104,137,33,211,251,49,10,171,154,847,19.18053781,8,73.5,75.25,78.75,98.5,37.5,136,29,127.5,177,4.2,8.25,9.5,10,10.74,3.07
Malcolm Lee,21,1,19,243,23,59,2,10,14,17,9,26,31,8,4,17,22,62,15.0064856,43,76,77.5,81.75,101.5,35.5,137,30,131.5,198,5.9,8.5,9.5,17,11.2,3.09
Kawhi Leonard,20,1,64,1534,199,404,41,109,68,88,104,327,70,85,24,44,88,507,21.78852868,15,78,79,87,106,32,138,25.5,131.5,227,5.4,9.75,11.25,3,11.45,3.15
Travis Leslie,21,1,10,45,5,14,0,0,4,9,6,9,5,2,2,2,4,14,21.75122222,47,75,76.25,82.5,103,40.5,143.5,33,136,205,8.1,8.75,9.25,10,11,3.13
Jon Leuer,22,1,46,555,97,191,3,9,21,28,45,120,25,14,17,18,67,218,22.27951892,40,82,83.5,84,105.5,36.5,142,29.5,135,223,5.4,8.75,9.75,17,10.82,3.36
DeAndre Liggins,23,1,17,115,12,25,0,4,9,19,6,15,5,6,0,10,6,33,12.81626957,53,77,78.25,83,103.5,31,134.5,27,130.5,202,5,8.75,10,6,,3.33
Shelvin Mack,21,1,64,779,88,220,12,42,42,59,12,92,131,28,2,48,50,230,18.14938896,34,73,74.5,79.5,96.5,39,135.5,32,128.5,209,7.1,8.25,9.25,17,11.23,3.18
E'Twaun Moore,22,1,38,331,43,113,17,45,7,7,4,33,34,11,3,21,33,110,17.14819637,55,74.5,76,81.5,99.5,34.5,134,32,131.5,191,7.6,9,10,,11.12,3.31
Darius Morris,21,1,19,169,18,42,4,9,6,9,2,16,21,2,0,19,16,46,10.62524852,41,75.25,77.25,79.5,102,32,134,24.5,126.5,190,5.3,8.75,10,12,11,3.2
Marcus Morris,22,1,17,126,16,54,2,17,6,8,5,16,3,2,2,4,12,40,15.4382381,14,79,80.75,82,105.5,33,138.5,29,134.5,230,8,8.25,8.5,11,,3.15
Markieff Morris,22,1,63,1227,174,436,43,124,76,106,69,279,65,41,42,70,179,467,20.52712877,13,79.75,81.25,82.75,106.5,31.5,138,27,133.5,241,10.2,8.5,8.25,11,,3.4
Daniel Orton,21,1,16,187,17,30,0,1,11,25,19,39,5,8,9,7,30,45,14.96263636,29,80.75,81.5,88.25,110.5,30.5,141,24,134.5,269,13.8,8.5,9.75,13,12.32,3.39
Chandler Parsons,23,1,63,1804,248,549,60,178,43,78,90,300,134,73,29,81,142,599,19.54055654,38,80.75,81.75,81.5,104.5,31.5,136,25.5,130,221,7,8.25,10,4,11.05,3.29
Josh Selby,20,1,28,237,25,72,2,15,11,14,2,15,30,7,0,29,17,63,10.71086498,49,73.75,75,77.25,98,42,140,29.5,127.5,195,7.9,8.5,9,5,11.13,3.2
Iman Shumpert,21,1,59,1705,214,534,48,157,87,109,42,186,164,101,8,111,173,563,18.03920997,17,76.25,77.5,81.5,99.5,42,141.5,36.5,136,222,6.5,9,9,18,11.1,3.18
Chris Singleton,22,1,66,1431,116,312,44,127,30,44,43,233,49,70,30,38,176,306,13.57330328,18,79.75,81,85,103.5,37.5,141,30.5,134,230,7.4,9.25,10,15,11.33,3.09
Greg Smith,21,1,8,69,7,11,0,0,0,0,5,20,1,2,5,1,17,14,14.6447971,,80,81.25,86.5,106.5,36,142.5,29.5,136,253,7.4,9.75,12,17,12.43,3.36
Nolan Smith,23,1,44,541,67,180,13,45,20,28,17,56,62,18,3,42,55,167,15.66401479,21,73.5,75.5,77.5,99,34,133,28.5,127.5,188,5.6,8.5,9.25,9,11.05,3.17
Isaiah Thomas,22,1,65,1656,256,571,83,219,154,185,48,168,266,53,8,105,121,749,24.86893961,60,68.75,70.25,73.75,91.5,40,131.5,31.5,123,186,6.7,8.25,9,13,10.49,3.14
Malcolm Thomas,23,1,3,15,0,3,0,0,1,2,1,3,1,1,1,0,0,1,14.8748,,79.5,80.75,84.5,107.5,36.5,144,32,139.5,223,5.9,9.5,10.5,5,11.31,3.29
Trey Thompkins,21,1,24,119,24,61,4,13,5,7,4,24,3,3,3,6,10,57,23.54605882,37,80.5,81.75,85,107.5,30.5,138,27.5,135,239,15.5,9.25,9.75,15,11.72,3.41
Klay Thompson,21,1,66,1608,318,718,111,268,79,91,24,161,133,49,20,103,155,826,24.44211567,11,77.75,79.25,81,103.5,31.5,135,26.5,130,206,8,8.75,9.25,5,10.99,3.24
Tristan Thompson,20,1,60,1424,194,442,0,2,106,192,187,389,27,27,62,81,134,494,19.91427879,4,79.5,80.75,85.25,108.5,35,143.5,30,138.5,227,6.2,8.75,9.25,9,10.92,3.26
Jeremy Tyler,20,1,42,568,88,209,0,1,29,52,54,140,16,16,20,36,84,205,18.75991197,39,81,82.5,89,110.5,33.5,144,28,138.5,262,13.4,9.25,9,10,11.26,3.29
Kemba Walker,21,1,66,1792,281,767,69,226,168,213,30,234,289,60,20,119,79,799,25.17997768,9,71.5,73,75.5,91.5,39.5,131,32,123.5,184,5.9,8,9,7,10.87,3.16
Derrick Williams,20,1,66,1418,205,498,37,138,136,195,77,311,38,30,31,77,95,583,20.8315268,2,79.25,80.75,85.5,108,34.5,142.5,29,137,248,10.8,9,9.75,19,11.03,3.23
Jordan Williams,21,1,43,635,77,152,0,0,43,66,66,156,11,21,15,23,61,197,18.7265685,36,79.75,81,84.25,106.5,30.5,137,25,131.5,247,12.1,9.25,10,10,12.74,3.45
Quincy Acy,22,1,29,342,42,75,1,2,31,38,30,77,11,13,15,17,53,116,19.53786842,37,78.5,79.75,86.75,106.5,37,143.5,32,138.5,224,7.1,9.5,11,13,10.48,3.28
Harrison Barnes,20,1,81,2058,276,628,52,145,144,190,53,333,98,52,14,101,140,748,18.13447085,7,79,80,83.25,101.5,39.5,141,38,139.5,228,9.6,9,8.5,15,10.93,3.16
Will Barton,22,1,73,894,118,309,9,65,50,65,36,145,58,34,9,60,56,295,17.51553803,40,77,78,81.75,102.5,34,136.5,30,132.5,174,4.1,9,9.5,,12.5,3.6
Bradley Beal,19,1,56,1745,282,687,91,236,125,159,43,211,137,50,29,90,113,780,22.95455645,3,75.25,76.75,80,100,39,139,33,133,202,6,8.5,9,8,10.95,3.28
Jae Crowder,22,1,78,1353,141,367,63,192,47,73,35,187,94,63,17,49,128,392,17.10466962,34,76.75,78.5,81.25,99.5,34.5,134,31,130.5,241,9,9.5,10.5,20,11.45,3.37
Jared Cunningham,21,1,8,26,6,14,2,3,2,2,1,3,1,1,0,2,3,16,27.32792308,24,75.5,77,78.5,98,,,,,188,3.6,8.25,9,4,,
Anthony Davis,19,1,64,1846,349,676,0,6,169,225,165,522,63,75,112,89,158,867,27.95066576,1,81.25,82.5,89.5,108,,,,,222,7.9,9,8.5,,,
Andre Drummond,19,1,60,1243,208,342,1,2,59,159,169,457,30,59,95,57,144,476,25.68995656,9,81.75,83.75,90.25,109.5,33.5,143,31.5,141,279,7.5,9.5,9.5,10,10.83,3.39
Kim English,24,1,41,407,42,112,14,50,21,29,8,37,26,16,3,19,46,119,14.65192875,44,76.5,77.75,78.5,98,36.5,134.5,29,127,192,4.3,8.5,8.75,,10.59,3.33
Festus Ezeli,23,1,78,1120,74,169,0,0,43,81,141,313,22,23,74,63,157,191,12.92354196,30,81.75,83.5,89.75,108,33.5,141.5,34,142,264,5.5,9,10.75,18,12.35,3.29
Draymond Green,22,1,79,1061,84,257,14,67,45,55,58,260,53,42,25,51,159,227,13.84908483,35,77.75,79.5,85.25,105,33,138,28,133,236,11.3,9,9.5,9,11.01,3.4
John Henson,22,1,63,827,162,336,0,3,56,105,116,297,31,19,42,47,83,380,27.26807376,14,81,82.5,89,112,30,142,25.5,137.5,216,8.6,9.25,10,5,,
Bernard James,27,1,46,457,53,103,0,2,25,41,52,131,6,12,38,18,64,131,19.42537418,33,80.75,82,87,108.5,32.5,141,30,138.5,230,5,9,9.25,6,11.84,3.4
John Jenkins,21,1,61,902,131,294,53,138,59,70,17,94,56,12,10,40,37,374,20.54114412,23,75.25,76.25,80.5,98,36.5,134.5,30.5,128.5,212,7.1,9,9,10,11.36,3.37
Orlando Johnson,23,1,51,619,72,180,36,94,23,32,20,110,47,11,9,29,51,203,18.07645719,36,75.75,77.25,83.25,99,39.5,138.5,32,131,224,7,9,9.5,13,10.98,3.25
Darius Johnson-Odom,23,1,4,6,0,4,0,1,0,0,1,4,1,0,0,0,0,0,19.66466667,55,73.5,75,79,96,41.5,137.5,33.5,129.5,212,7,8.75,8.75,17,10.76,3.21
Kevin Jones,23,1,32,334,43,107,0,0,9,15,38,78,10,9,5,8,25,95,18.68250299,,78.25,79.5,85.5,105,32.5,137.5,27.5,132.5,251,11.2,9,7.75,17,11.94,3.6
Perry Jones,21,1,38,280,39,99,0,2,10,15,12,62,10,5,6,15,23,88,16.32876071,28,82.25,83.25,85.75,107,38.5,145.5,33,140,234,4.6,9.25,9.5,11,11.31,3.19
Terrence Jones,21,1,19,276,43,94,5,19,13,17,28,65,15,12,19,13,21,104,25.26532246,18,80.25,81.5,86.25,107,34.5,141.5,29.5,136.5,252,7.7,9,10,12,11.57,3.4
